variety,origin,type,alphaacid,betaacid,co-humuloneofaa,totaloilmls100gms,myrcene,humulene,caryophyllene,farnesene
Spalter,Germany,Aroma,3.5 - 5.5,4.0 - 5.5,23 - 28,0.5 - 1.1,15 - 25,18 - 25,10 - 15,10 - 15
Spalter Select,Germany,Aroma,4.0 - 6.0,3.5 - 4.5,21 - 25,0.5 - 1.0,15 - 25,15 - 25,7 - 11,15 - 25
Status,U.S.,Dual,12.5 - 14.0,8.5 - 9.0,32 - 35,1.5 - 1.8,40 - 45,15 - 20,7 - 10,0 - 1
Sterling,U.S.,Dual,6.0 - 9.0,4.0 - 6.0,23 - 24,1.3 - 1.9,44 - 48,19 - 23,5 - 7,11 - 17
Sticklebract,N.Z.,Dual,13.0 - 14.5,7.5 - 8.0,42 - 44,1.2 - 2.0,45 - 60,8 - 15,4 - 7,4 - 8
Strisselspalt,France,Aroma,3.0 - 5.0,3.0 - 5.0,20 - 25,0.6 - 0.9,20 - 30,15 - 25,8 - 10,0 - 1
Styrian Golding,Slovenia,Aroma,4.5 - 6.0,2.0 - 3.0,25 - 30,0.5 - 1.0,27 - 33,34 - 38,9 - 11,2 - 5
Sun,U.S.,Bittering,12.0 - 16.0,4.5 - 7.0,30 - 40,2.5 - 5.0,55 - 70,10 - 15,5 - 10,0 - 1
Super Alpha,N.Z.,Dual,12.5 - 15.0,7.0 - 8.5,36 - 39,1.2 - 2.2,45 - 60,16 - 25,5 - 8,0 - 1
Super Pride,Australia,Dual,14.0 - 15.0,7.0 - 8.0,30 - 34,1.7 - 1.9,30 - 45,1 - 2,7 - 9,0 - 1
Super Styrian (Aurora),Slovenia,Dual,7.5 - 8.8,3.6 - 4.0,22 - 26,1.0 - 1.2,29 - 31,18 - 20,4 - 6,6 - 8
Target,England,Bittering,9.5 - 12.5,4.3 - 5.5,35 - 39,1.2 - 1.4,45 - 55,17 - 22,8 - 10,0 - 1
Tettnanger,Germany,Aroma,3.5 - 5.5,3.5 - 5.0,23 - 29,0.6 - 1.0,20 - 25,20 - 25,6 - 10,12 - 16
Tettnanger,U.S.,Aroma,4.0 - 5.0,3.0 - 4.0,20 - 25,0.4 - 0.8,36 - 45,18 - 23,6 - 7,5 - 8
Ultra,U.S.,Aroma,2.0 - 3.5,3.0 - 4.5,23 - 38,0.5 - 1.0,15 - 25,35 - 50,10 - 15,0 - 1
Vanguard,U.S.,Aroma,4.0 - 5.0,5.0 - 6.0,15 - 20,0.8 - 1.2,25 - 35,35 - 40,10 - 15,0 - 1
Victoria,Australia,Bittering,14.0 - 15.0,6.0 - 8.0,38 - 40,1.6 - 2.0,30 - 45,14 - 16,9 - 11,0 - 1
Warrior,U.S.,Bittering,15.0 - 17.0,4.5 - 5.5,24 - 26,1.0 - 2.0,40 - 50,15 - 20,8 - 10,0 - 1
WGV,England,Dual,5.4 - 7.7,2.0 - 3.3,32 - 43,0.9 - 1.4,21 - 27,39 - 44,12 - 14,1 - 3
Willamette,U.S.,Dual,4.0 - 6.0,3.0 - 4.0,30 - 35,1.0 - 1.5,45 - 55,20 - 30,7 - 8,5 - 6
Zeus,U.S.,Bittering,12.0 - 18.0,4.0 - 6.0,27 - 35,1.0 - 2.0,25 - 65,10 - 25,5 - 15,0 - 1
